"id","text","tweet_url","language","type","author_name","author_username","view_count","bookmark_count","favorite_count","retweet_count","reply_count","quote_count","created_at","source","hashtags","urls","media_type","media_urls"
"1911083459465924814","USD1 trading started on @BNBCHAIN in 

In 15 hours, it reached $37.2 million in volume. 🔥 🔥 

The #BNBChain era has begun! 🔥🚀 https://t.co/jQ7X5dc7Ss","https://x.com/cz_binance/status/1911083459465924814","en","Retweet","🔸BΞRIT🔸","Berit1p","128154","15","423","83","125","6","2025-04-12 08:46:17","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#BNBChain","","photo","https://pbs.twimg.com/media/GoWIRj-WoAARa1p.jpg"
"1911046093997015549","I don’t really care about how I am remembered

I don’t care about legacy

I don’t care about fame

I don’t care about power &amp; money

when I’m old

I just want to be able to tell myself that 

I did my best to help make the world a better place.

~ life advice by @cz_binance","https://x.com/cz_binance/status/1911046093997015549","en","Retweet","Umair Nauman","UmairNauman_","124402","33","674","98","130","9","2025-04-12 06:17:48","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","",""
"1911025194925203720","I am happy to assist and advise any gov on crypto adoption and regulatory policies if they are genuinely embracing crypto. I offer my advice free of charge, with the only constraint being the time I have available.🙏","https://x.com/cz_binance/status/1911025194925203720","en","Tweet","CZ 🔶 BNB","cz_binance","355122","88","5883","694","1289","89","2025-04-12 04:54:46","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","",""
"1911017852255048110","WSJ is really TRYING here. They seem to have forgotten who went to prison and who didn't. 🤯

People who become gov witnesses don't go to prison. They are protected.🤷‍♂️

I heard someone paid WSJ employees to smear me.😅","https://x.com/cz_binance/status/1911017852255048110","en","Tweet","CZ 🔶 BNB","cz_binance","1040693","246","6201","548","954","104","2025-04-12 04:25:35","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","",""
"1910867438897349002","JUST IN: Binance Founder CZ gave evidence against Justin Sun as part of DOJ plea deal, WSJ claims. https://t.co/AIt3PMxeMx","https://x.com/cz_binance/status/1910867438897349002","en","Quoted","Watcher.Guru","WatcherGuru","2128809","454","7549","893","1212","365","2025-04-11 18:27:54","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","photo","https://pbs.twimg.com/media/GoTDzvDXMAA1lK6.jpg
https://pbs.twimg.com/media/GoTDzu7WsAAstii.jpg"
"1910692016016810081","English Version right here:

@lista_dao  just did something great today — breaking the monopoly @VenusProtocol has held for years over $BNB lending. The people have suffered under Venus long enough.

Venus, knowing they had no real competitors, once intentionally tweaked their interest rate model for BNB lending as soon as they saw more users borrowing BNB for launches.

How steep was it?

5% → 29.68%

Yup, at a certain utilization level, borrowing just 1 more BNB could cause the interest rate to 6x for everyone. Crazy, right?

It’s like a tourist spot suddenly pump ticket prices because too many people showed up: “take it or leave it.”

Thanks to this BNB lending monopoly, the Venus team basically stopped innovating and just sat back collecting yield from users borrowing to ape into launchpads. Like some kind of DeFi couch potato living off their parents (aka retail users).

But as Binance launchpad returns have been drying up lately, borrowing $BNB to participate has become a net negative for most users. The game was rigged.

Today though, @lista_dao launched their own BNB lending pool, capping interest at just 12.7%.

Everyone in my wechat group immediately started moving over, and within minutes, Venus’s BNB borrow rate dropped to 5% 😂😂😂

Wouldn’t be surprised if Venus has to revert their rate curve soon — otherwise, no one’s gonna stick around.

All in all, this feels like a healthy step forward for the recovery of BNB Chain. Love to see it.

check this out, bro @DePINDegens","https://x.com/cz_binance/status/1910692016016810081","en","Retweet","土澳大狮兄BroLeon","BroLeonAus","136909","8","253","42","93","3","2025-04-11 06:50:50","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","",""
"1910687434750517465","今天Lista是干了一件大好事的，打破了 @VenusProtocol 过去几年来在 $BNB 借贷上的垄断，百姓苦Venus久也。

Venus仗着没有竞争对手，眼看借 $BNB 打新的人多两年前专门修改了借贷曲线，只要超过了一定的借贷数量费率就会出现跳涨，有多陡峭？

5%->29.68%

到了某条线，只要借多1个bnb，全体借贷人利息直接翻6倍，刺激不？

这真的跟景区看到游人多了门票翻3倍爱买不买。靠着垄断BNB借贷生意，整个Venus团队过去几年几乎没有任何进展，就躺平了靠打新拔毛这一口饭过日子，跟啃老族一样一样的。

随着币安过去一段时间打新收益越来越低，借币打新几乎已经变成反撸。

但今天 @lista_dao 开了借贷池，且封顶借贷费率才12.7% , 刚才群友们忙着搬家，瞬间把Venus的借贷利率搬到了5% 😂😂😂 。

估计用不了多久Venus又要把借贷曲线改回来了，不然没人陪他玩了要。

这也是bnbchain复苏的一个积极信号吧，挺好的","https://x.com/cz_binance/status/1910687434750517465","zh","Retweet","土澳大狮兄BroLeon","BroLeonAus","281552","26","317","87","112","6","2025-04-11 06:32:37","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","photo","https://pbs.twimg.com/media/GoQdxdsaAAA_cI4.jpg"
"1910617523281703381","#BNB chain road map in 2025 looks 🔥

Pascal upgrade (March 2025 - Released): Quick transactions, scalable, time sensitive

Lorentz Upgrade (Target: April 2025 - Released): Block times to a mere 1.5 seconds, Network responsiveness

Maxwell Upgrade (Target: June 2025): Block times to a mere 0.75 seconds.

The roadmap clearly says that @BNBCHAIN focusing on speed and efficiency with scalability and building relentlessly 📷🫡","https://x.com/cz_binance/status/1910617523281703381","en","Retweet","Crypto 🔶 ₿N","Crypto_bn","191571","30","647","158","143","11","2025-04-11 01:54:49","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#BNB","","",""
"1910437680619348424","We’ve just dropped a new build, continue easy-to-use improvements. Our team’s been grinding behind the scenes for @TrustWallet mobile:
- ✨ Home Screen Glow-Up for a cleaner look. Users can tuck away tiny balances and NFTs for a smoother vibe.
- 📷: Improved Trending token with easier network selection for a clearer view.
- 💸 Buy Crypto with new flow and logic - more intuitive.
- 🔍 Asset Details Refresh: A little UI polish to keep things sharp.
- 🛠️ Solana Error Messages: Clearer, friendlier, and ready to help you troubleshoot@Solana

There was another improvement to swap feature, but we had to take caution on fixing a more critical bug just to be safe. It's coming later.","https://x.com/cz_binance/status/1910437680619348424","en","Retweet","Eowync.eth","EowynChen","135998","9","363","53","65","2","2025-04-10 14:00:11","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","",""
"1910616244681650249","Chaos and opportunity often come together.","https://x.com/cz_binance/status/1910616244681650249","en","Tweet","CZ 🔶 BNB","cz_binance","871533","418","11976","1946","2034","252","2025-04-11 01:49:44","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","",""
"1910384574938423424","The Lorentz testnet hardforks are complete!

opBNB is now running at 0.5s block times & BSC testnet is live with 1.5s block times

Faster blocks. Smoother performance. Now it’s time for mainnet:
🔸 opBNB → April 21 @ 03:00 AM UTC
🔸 BSC → April 29 @ 05:05 AM UTC

Here’s everything you need to prep 🧵👇","https://x.com/cz_binance/status/1910384574938423424","en","Retweet","BNB Chain","BNBCHAIN","145241","15","397","122","78","15","2025-04-10 10:29:10","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","photo","https://pbs.twimg.com/media/GoML-hMXcAAlUSY.jpg
https://pbs.twimg.com/media/GoML-lUWcAABoOr.jpg"
